['2025-05-06-15-07-38_0', [1, 100]]
['2025-05-06-15-10-15_0', [1, 100]]
['2025-05-06-15-12-46_0', [1, 100]]
['2025-05-06-15-15-22_0', [1, 100]]
['2025-05-06-15-17-55_0', [1, 100]]
['2025-05-06-15-20-24_0', [1, 100]]
['2025-05-06-15-22-52_0', [1, 100]]
['2025-05-06-15-25-21_0', [1, 100]]
['2025-05-06-15-27-52_0', [1, 100]]
['2025-05-06-15-30-20_0', [1, 100]]
['2025-05-06-15-32-50_0', [1, 100]]
['2025-05-06-15-35-19_0', [1, 100]]
['2025-05-06-15-37-48_0', [1, 100]]
['2025-05-06-15-40-17_0', [1, 100]]
['2025-05-06-15-42-46_0', [1, 100]]
['2025-05-06-15-45-16_0', [1, 100]]
['2025-05-06-15-47-46_0', [1, 100]]
['2025-05-06-15-50-15_0', [1, 100]]
['2025-05-06-15-52-43_0', [1, 100]]
['2025-05-06-15-55-12_0', [1, 100]]
['2025-05-06-15-57-41_0', [1, 100]]
['2025-05-06-16-00-10_0', [1, 100]]
['2025-05-06-16-02-40_0', [1, 100]]
['2025-05-06-16-05-09_0', [1, 100]]
['2025-05-06-16-07-38_0', [1, 100]]
['2025-05-06-16-10-07_0', [1, 100]]
['2025-05-06-16-12-36_0', [1, 100]]
['2025-05-06-16-15-07_0', [1, 100]]
['2025-05-06-16-17-37_0', [1, 100]]
['2025-05-06-16-20-07_0', [1, 100]]
['2025-05-06-16-22-35_0', [1, 100]]
['2025-05-06-16-25-05_0', [1, 100]]
['2025-05-06-16-27-33_0', [1, 100]]
['2025-05-06-16-30-03_0', [1, 100]]
['2025-05-06-16-32-33_0', [1, 100]]
['2025-05-06-16-35-03_0', [1, 100]]
['2025-05-06-16-37-33_0', [1, 100]]
['2025-05-06-16-40-01_0', [1, 100]]
['2025-05-06-16-42-31_0', [1, 100]]
['2025-05-06-16-45-00_0', [1, 100]]
['2025-05-06-16-47-30_0', [1, 100]]
['2025-05-06-16-49-59_0', [1, 100]]
['2025-05-06-16-52-28_0', [1, 100]]
['2025-05-06-16-54-57_0', [1, 100]]
['2025-05-06-16-57-25_0', [1, 100]]
